color_cepa,acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,pH,sulfatos,alcohol,calificacion,precio,nota_de_cata
tinto,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,,
tinto,11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,,
tinto,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,,
blanco,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4,,
blanco,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,7,,
blanco,8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6,,
blanco,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,,
tinto,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,,
tinto,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7,,
tinto,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,,
tinto,8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,,
blanco,7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,6,,
blanco,6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6,,
tinto,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,,
blanco,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,,
tinto,6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,,
blanco,6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6,,
blanco,5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,,
tinto,7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,,
blanco,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,,
blanco,8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6,,
